,county,homes_sold,new_listings,inventory,average_sale_to_list,monthly_avg_mortgage_rate,median_income,num_housing_units,population,days_on_market,homes_sold_percent_represented,train-test,r2,mae,mape,mse,rmse,oob-score
0,multnomah,0.007422586361476413,0.002664036949169757,0.0,0.004590266467396442,0.014215916405376538,0.2273574926165438,0.27665870072895876,0.12299177891539474,0.007036987573485476,19.786213154637682,1.2185754585312867,0.9628465903134119,10.185650785064709,0.023949170549042886,164.981387031054,12.844508049398154,0.9529283281355524
1,washington,0.0,0.0,0.0,0.0,0.0,0.2911827645210323,0.32016985303470274,0.13326011867426324,0.0,14.654165100563482,0.896896539762887,0.9713888706034906,10.881404915718115,0.025009002691854035,175.77454283318292,13.257999201734133,0.9677647828364498
2,clackamas,0.0,0.0,0.0,0.0,0.0,0.32891277782280515,0.27168005208109475,0.12764211994057098,0.0,11.180010914232064,1.3643229752333699,0.9674103416387886,12.237885220515976,0.02742671056841787,222.92656888887893,14.930725665180475,0.9652809154793145
3,deschutes,0.0,0.0,0.0,0.0,0.001693534425175469,0.2674031120724876,0.2526204181957069,0.20038174221981553,0.0,8.106883986745656,1.512640279977417,0.9705055828767412,15.423604345829094,0.03646205920850421,369.5896546701261,19.224714683711852,0.9776855022740698
4,lane,0.003590991856060555,0.0,0.002387583593104259,0.0011242412561389692,0.0,0.18839009950577096,0.18421019981942666,0.22444525242371377,0.0054989188116205566,7.7159217257696975,0.5540792679065488,0.9799986796636964,7.263400405199415,0.02232803889312552,81.84988856203805,9.047092823777042,0.9693325517355539
5,marion,0.0023456512660060213,0.0,0.0024899849608362224,0.0035135592542812843,0.001186006682575702,0.22141542690351504,0.23919288331345018,0.10553205738091628,0.012234438888869903,6.924089471540432,1.2175490480104296,0.9759632612550635,8.994289994646934,0.031049358648361433,123.27968077750671,11.103138330107695,0.974595688912551
6,jackson,0.0034735543863170016,0.0010841203970822,0.014404083743383755,0.00300364554418866,0.0026020220007041406,0.12174892293903924,0.07126923320840399,0.18616397312468166,0.07035796821692067,5.4720562633380885,3.6438560640438995,0.9353686772670888,11.33910182327701,0.035344869456099826,207.5653828508206,14.407129584022648,0.9390731742492647
7,linn,0.00715916876905992,0.0,0.0016257853985071735,0.004657095150341473,0.0,0.19201637264952534,0.19421795016230872,0.23807513143580206,0.012948922244914719,2.7309169999386667,0.14971567956452636,0.9825119642209135,7.25597002316816,0.0307219591373502,85.33912302267619,9.237917677846896,0.9660171138807464
8,yamhill,0.010813928029023622,0.0,0.01361517321463468,0.001907915275021288,0.0,0.14000143691313824,0.2549376842044735,0.21728132020256705,0.007957099987556282,2.415127691797184,3.1170504179686125,0.9421792803087279,15.375329125915373,0.04721690446703449,380.9604552516679,19.518208300242826,0.9431948741540145
9,douglas,0.013082468446875883,0.0,0.249130389453074,0.0060366563943848985,0.005824833169931887,0.2170052684039312,0.02846509121401809,0.045040739907559676,0.05309537966565436,2.1235572847781063,7.38382075762264,0.8652145359425163,15.338982335402688,0.05930457160747133,353.3879264196236,18.798615013336054,0.8671891938211629
10,polk,0.0010396941182747367,0.0,0.0,0.003765641483793991,0.0,0.1737156964886571,0.22657653497850455,0.25719988530071813,0.009784582532779973,2.054517690020083,2.4086627743511966,0.951335592453153,12.721140779968952,0.04144207655673954,284.618793551763,16.870648877614727,0.9477716487792545
11,josephine,0.0,0.0014487300853263663,0.004906522449405248,0.0,0.0,0.1721369449991143,0.045585816258086484,0.2942286028957485,0.11122531603824619,1.9316932628993169,4.443795809517606,0.9160560392545406,14.476144551993567,0.044300172251722884,324.42291740589667,18.011743874647358,0.9131534276194271
12,benton,0.003349928957391557,0.0,0.0024923881907475964,0.00775826720809999,0.010583834966409411,0.15785072088991486,0.2930039626471535,0.1567935364502854,0.010547670945127808,1.6904478452254952,6.727814077235118,0.8980582130679191,19.617016170698335,0.049979254556317375,550.4269545060384,23.461179733893147,0.9113584407191948
13,klamath,0.02596122572246279,0.0,0.054359586434606,0.0,0.0,0.2667309676373952,0.005969250415809257,0.06366456332693408,0.03514364700063155,1.58287818050001,6.382025560249442,0.849974377644898,12.576829136095846,0.06192113742967251,287.27570800038535,16.949209657101576,0.8204130093022464
14,lincoln,0.006824606517137654,0.0,0.016451803168396218,0.0015350171971128756,0.0,0.043033544129366094,0.1944830110591747,0.21228729883888747,0.010751147639156789,1.4811273426675704,10.214195711091396,0.8535616298303608,25.361262111097314,0.07274329049809962,982.9624817154145,31.352232483754875,0.8586291760569977
15,coos,0.0020036627593292278,0.0017911223469293303,0.057430877597573635,0.0010500938828162608,0.003261991175384338,0.11728580875754639,0.14744735074442278,0.10138839529160255,0.011714774459118471,1.4111441543593235,8.03265849807681,0.8636878011258333,17.97000895153071,0.07264046888364462,441.09586672999717,21.002282417156408,0.8745081471595446
16,clatsop,0.005059612033350258,0.0,0.04467127844364873,0.0022262690517616535,0.0018156485173046355,0.1560442527028884,0.17693654810108436,0.1349732503146981,0.019400072882216745,1.2928804293979717,5.11565603240075,0.8956528822038333,24.177201975242365,0.06858020765653157,897.9608716468533,29.965995255403303,0.8895450158971359
17,columbia,0.0020903529745999625,0.0,0.0015639009347163113,0.0,0.0,0.11645896035738734,0.2829511750882864,0.2475448933535868,0.0018581646862701918,1.2263570841072111,5.438914278650601,0.9073343005538831,17.35464175661663,0.05383357839910841,455.31958156568203,21.33821880021109,0.9170050507323351
