,county,homes_sold,new_listings,inventory,average_sale_to_list,monthly_avg_mortgage_rate,median_income,num_housing_units,population,days_on_market,homes_sold_percent_represented,r2_adj,f_value,f_pvalue,mae,mape,mse,rmse,r2_adj_test,r2_diff
0,multnomah,7.329008110181668,0.0,0.0,9.949219258226158,0.0,0.0,43.29289597439249,14.390055262920734,-5.763708373008134,19.786213154637682,0.9511960709309362,324.5365487706714,1.1247871803975326e-50,12.060015311750034,0.02700812791359679,209.54953055104377,14.475825729506548,0.9480037494550291,0.0031923214759070895
1,washington,6.045459060713341,0.0,0.0,15.053603286735125,5.376184317557197,0.0,59.67685183786671,8.428612669270521,0.0,14.654165100563482,0.9756646975976075,666.5365818888723,1.904052053994636e-62,32.9615509221978,0.07396576109890671,1624.9023551888815,40.31007758847509,0.9734317444678846,0.0022329531297229366
2,clackamas,6.306008915385874,0.0,0.0,6.986094091439941,0.0,0.0,115.99076076507005,-43.01051414038192,-5.369286488021402,11.180010914232064,0.9767765841554413,699.1957953777686,3.0778112283576535e-63,21.916638635656742,0.05083168368209369,680.9947141541716,26.095875424177123,0.9891067333366631,-0.012330149181221772
3,lane,8.981658104541225,0.0,0.0,8.22220663048391,3.4414878048916577,58.93946963692275,29.82745818049193,-31.223770016536193,0.0,7.7159217257696975,0.9811062644274489,719.3317422396735,1.869294756610835e-65,55.08976025636192,0.16556833269909713,4182.721217554829,64.67396089273356,0.9868893771022401,-0.005783112674791258
4,marion,4.516262688149411,0.0,0.0,0.0,-3.3603940746105643,0.0,74.41150849847892,-10.305513602741222,-7.484782084251805,6.924089471540432,0.986398955175869,1204.8944704356973,2.7057322849771085e-72,7.748963982589107,0.02776287093879523,90.89289196809533,9.53377637497835,0.9886889995379743,-0.002290044362105337
5,jackson,6.841279006240683,0.0,-5.62927068469908,0.0,0.0,25.374455136227922,13.272482528618326,0.0,-15.079160825278997,5.4720562633380885,0.9613497401969512,413.8925851621453,1.2781785313676424e-54,85.86746023058355,0.26007185517047876,11057.803609164917,105.15609164078379,0.936708605182424,0.024641135014527138
6,deschutes,0.0,0.0,0.0,10.7795935885364,0.0,-69.15830609435648,165.20376853859926,0.0,-13.69103923799359,8.106883986745656,0.9695168404354741,660.9537162954542,7.379771250595372e-60,90.56581648023413,0.21681080325220548,11644.030886342985,107.90751079671418,0.9529872948942405,0.016529545541233648
7,linn,9.03202000175039,0.0,0.0,0.0,0.0,0.0,63.878286224849994,0.0,0.0,2.7309169999386667,0.9758947485007299,1681.1165531920146,1.113020175946539e-66,7.2928865679934916,0.028662581637233658,81.45233765343704,9.025094883348155,0.9852556021514168,-0.009360853650686951
8,douglas,8.126320125795282,0.0,0.0,13.397759778822078,9.191968135496438,53.86876073770167,10.401724784261287,-36.15811629461746,0.0,2.1235572847781063,0.8911276358381635,114.226765341206,3.018046116261095e-36,15.196648600753171,0.05819689744107565,392.9311976562619,19.82249221607268,0.8950721005296338,-0.003944464691470362
9,yamhill,7.739204882842968,0.0,0.0,6.088161410797458,4.296459660666635,42.795247626333996,0.0,28.52869297800659,0.0,2.415127691797184,0.952658597621611,335.04445001692153,3.440729004649603e-51,14.881071923531124,0.04227602339144501,338.4754152728248,18.397701358398685,0.9572192240547931,-0.004560626433182113
10,benton,0.0,0.0,0.0,15.399416355297205,12.980088298032317,0.0,40.378078011824414,15.981888815445675,0.0,1.6904478452254952,0.916158267615154,227.74011512255512,1.5908554549106757e-42,23.26479711941236,0.05905881025543769,812.9977169392829,28.513114823520823,0.85100493890048,0.06515332871467394
11,josephine,0.0,7.262289106341138,0.0,0.0,0.0,0.0,-10.799398962015523,67.50439065484127,0.0,1.9316932628993169,0.9261281706542465,347.8558937152373,8.740153072942564e-46,19.96425022850134,0.06215850366130314,666.5295443419725,25.817233475761352,0.8867455279520413,0.03938264270220515
12,polk,7.543779691838971,0.0,0.0,11.530163529635146,10.21281199746284,0.0,55.929205054299615,0.0,0.0,2.054517690020083,0.9655423726349686,582.4388791175936,9.306656658783813e-58,14.962352015302328,0.04407573906672942,405.6423779761171,20.14056548302746,0.9570000603389562,0.008542312296012322
13,umatilla,0.0,0.0,7.4900623398380155,0.0,-8.127071957752094,0.0,53.61836615459943,0.0,0.0,1.0360657181454613,0.8890238647462687,222.63618212519947,1.0075111353811132e-38,13.435009348800152,0.06227370449680139,325.2075292638048,18.03351128493297,0.8637055321528407,0.025318332593427972
14,klamath,10.579814329397962,0.0,0.0,0.0,0.0,17.513524039276852,-5.559001580942917,18.7540275122509,0.0,1.58287818050001,0.8477358167114115,116.52630314525254,2.550170518377348e-32,13.758744102392317,0.06790036306819963,316.87143908749636,17.800883098529027,0.8375420933799396,0.010193723331471949
15,coos,0.0,0.0,0.0,7.68754897694965,0.0,0.0,35.37553749725054,15.656743136203673,0.0,1.4111441543593235,0.9074468409269144,272.26064109620916,7.142924880427833e-42,18.060217845834682,0.07278419503756958,466.81485129861204,21.605898530230398,0.8549355814969535,0.05251125942996093
16,columbia,0.0,5.8761515259557795,0.0,0.0,0.0,0.0,38.24102565032273,19.862285369051985,-14.257413352491334,1.2263570841072111,0.9393796043474621,322.5440377844817,4.4506921677101723e-48,16.537660045230634,0.05082663084739374,505.4828654191737,22.482946101860712,0.9281038369261713,0.011275767421290883
17,lincoln,0.0,0.0,0.0,15.10117375648454,7.540453456807903,21.490733342735496,0.0,44.9675129347315,0.0,1.4811273426675704,0.8947792520959951,177.45445267059551,1.2260471632867623e-38,26.456885290751845,0.07423436825385038,1114.1790176500049,33.37932020952501,0.8271175399486762,0.06766171214731886
18,clatsop,0.0,0.0,0.0,0.0,0.0,24.739886631118225,0.0,59.33645540284965,0.0,1.2928804293979717,0.900070244597949,374.7917199990287,1.1445134774165387e-41,24.130279067906443,0.06641032317389668,1018.1135623768873,31.907891851027816,0.884619548564307,0.01545069603364202
19,malheur,0.0,11.47783899939057,-33.71927939943423,25.059973390086007,18.904128177270493,-15.27658367684116,-23.663639718209886,0.0,0.0,0.36595703189503465,0.8140584009301169,61.56278567677754,2.2883651668821413e-27,22.481210626743405,0.1415073350590072,754.1057329859923,27.460985652120943,0.8072783045747088,0.006780096355408105
20,wasco,0.0,0.0,0.0,0.0,0.0,21.90142734855131,46.567421448365025,0.0,0.0,0.45827193422523893,0.8771709832015359,297.36804683206526,4.871582153433642e-38,24.008295428242278,0.08941843029349604,1145.3453223093472,33.8429508510908,0.8347497830959484,0.042421200105587475
21,union,0.0,0.0,0.0,15.826445408857541,8.498159983862262,26.18346033530823,0.0,-12.695244559142083,0.0,0.43578295461157757,0.6232414688377113,35.325063425868215,6.725351845249397e-17,33.21839809839028,0.15953402788792373,1663.2965640231514,40.78353300074862,0.5551987974694199,0.06804267136829134
